"date","open_price","high","low","close","adj_close","volume"
2022-12-20,239.4,242.91,238.42,241.8,241.191022222222,25150802
2022-12-21,241.69,245.615,240.11,244.43,243.814398518519,23690607
2022-12-22,241.255,241.99,233.87,238.19,237.590114074074,28651664
2022-12-23,236.11,238.87,233.9428,238.73,238.128754074074,21206982
2022-12-27,238.7,238.93,235.83,236.96,236.363211851852,16688648
2022-12-28,236.89,239.72,234.17,234.53,233.939331851852,17457104
2022-12-29,235.65,241.92,235.65,241.01,240.403011851852,19770693
2022-12-30,238.21,239.96,236.66,239.82,239.216008888889,21938472
2023-01-03,243.08,245.75,237.4,239.58,238.976613333333,25740036
2023-01-04,232.275,232.87,225.96,229.1,228.523007407407,50623394
2023-01-05,227.2,227.55,221.7602,222.31,221.750108148148,39585623
2023-01-06,223.0,225.7601,219.35,224.93,224.36350962963,43613574
2023-01-09,226.45,231.2366,226.41,227.12,226.547994074074,27369784
2023-01-10,227.755,231.31,227.33,228.85,228.273637037037,27033881
2023-01-11,231.29,235.95,231.11,235.77,235.176208888889,28669331
2023-01-12,235.26,239.9,233.56,238.51,237.909308148148,27269486
2023-01-13,237.002,239.37,234.92,239.23,238.627494814815,21333265
2023-01-17,237.97,240.91,237.09,240.35,239.744674074074,29831257
2023-01-18,241.565,242.38,235.52,235.81,235.216108148148,30028692
2023-01-19,233.78,235.52,230.68,231.93,231.34588,28623033
2023-01-20,234.855,240.74,234.51,240.22,239.615001481481,35389809
2023-01-23,241.1,245.165,239.65,242.58,241.969057777778,31933951
2023-01-24,242.5,243.95,240.44,242.04,241.430417777778,40234444
2023-01-25,234.48,243.3,230.9,240.61,240.004019259259,66526641
2023-01-26,243.65,248.31,242.0,248.0,247.375407407407,33454491
2023-01-27,248.99,249.83,246.83,248.16,247.535004444444,26498939
2023-01-30,244.51,245.6,242.2,242.71,242.09873037037,25867365
2023-01-31,243.45,247.95,242.945,247.81,247.185885925926,26541072
2023-02-01,248.0,255.18,245.47,252.75,252.113444444444,31259912
2023-02-02,258.82,264.69,257.25,264.6,263.9336,39940437
2023-02-03,259.542,264.2,257.1,258.35,257.699340740741,29077256
2023-02-06,257.44,258.3,254.78,256.77,256.12332,22517997
2023-02-07,260.53,268.775,260.08,267.56,266.886145185185,50841365
2023-02-08,273.2,276.76,266.21,266.73,266.058235555556,54686049
2023-02-09,273.8,273.98,262.8,263.62,262.956068148148,42375102
2023-02-10,261.53,264.09,260.662,263.1,262.437377777778,25818489
2023-02-13,267.64,274.6,267.15,271.32,270.636675555556,44630921
2023-02-14,272.67,274.97,269.28,272.17,271.484534814815,37047924
2023-02-15,268.32,270.73,266.18,269.32,269.32,28962163
2023-02-16,264.02,266.74,261.9,262.15,262.15,29603616
2023-02-17,259.39,260.09,256.0,258.06,258.06,30000055
2023-02-21,254.48,255.49,251.59,252.67,252.67,28397444
2023-02-22,254.09,254.34,250.34,251.51,251.51,22491056
2023-02-23,255.56,256.84,250.48,254.77,254.77,29219095
2023-02-24,249.96,251.0,248.1,249.22,249.22,24990905
2023-02-27,252.46,252.82,249.39,250.16,250.16,21190042
2023-02-28,249.07,251.49,248.73,249.42,249.42,22490950
2023-03-01,250.76,250.93,245.79,246.27,246.27,27565259
2023-03-02,246.55,251.4,245.61,251.11,251.11,24833646
2023-03-03,252.19,255.62,251.39,255.29,255.29,30760136
2023-03-06,256.425,260.12,255.98,256.87,256.87,24109849
2023-03-07,256.3,257.69,253.39,254.15,254.15,21473179
2023-03-08,254.04,254.5417,250.81,253.7,253.7,17340217
2023-03-09,255.82,259.56,251.58,252.32,252.32,26653387
2023-03-10,251.08,252.79,247.6,248.59,248.59,28333930
2023-03-13,247.4,257.91,245.73,253.92,253.92,33339721
2023-03-14,256.75,261.07,255.86,260.79,260.79,33620293
2023-03-15,259.98,266.48,259.21,265.44,265.44,46028047
2023-03-16,265.205,276.56,263.28,276.2,276.2,54832140
2023-03-17,278.26,283.33,276.3201,279.43,279.43,69527371
2023-03-20,276.98,277.48,269.85,272.23,272.23,43466649
2023-03-21,274.88,275.0,269.5191,273.78,273.78,34558704
2023-03-22,273.4,281.04,272.18,272.29,272.29,34873330
2023-03-23,277.94,281.06,275.2,277.66,277.66,36610879
2023-03-24,277.24,280.63,275.28,280.57,280.57,28199962
2023-03-27,280.5,281.4589,275.52,276.38,276.38,26840212
2023-03-28,275.79,276.14,272.0451,275.23,275.23,21878647
2023-03-29,278.96,281.1398,278.41,280.51,280.51,25087032
2023-03-30,284.23,284.46,281.48,284.05,284.05,25053410
2023-03-31,283.73,289.27,283.0,288.3,288.3,32765976
